adipose_tissue,adrenal_gland,brain,breast,colon,heart,kidney,leukocyte,liver,lung,lymph_node,ovary,prostate_gland,skeletal_muscle_tissue,testis,thyroid_gland,micropeptide_aa_avg,genebody_SINE,genebody_LTR,genebody_LINE,genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me1,genebody_Gm12878H3k4me3,genebody_H1hescH3k27ac,genebody_H1hescH3k4me1,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me1,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS1k_K562H3k4me3,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k27ac,TSS5k_H1hescH3k4me1,TSS5k_H1hescH3k4me3,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,cancer-miRNA_targets,miRNA_targets,hbm_total_degree,hbm_cancer-protein_degree
1.06875,1.9,1.1875,2.375,1.1875,0.95,0.95,0.271429,0.31666700000000003,1.9,0.791667,2.85,1.58333,0.38,1.9,0.76,58.0,29.0,7.0,12.0,3.51195,3.00506,3.9742900000000003,3.08703,2.52743,3.0657099999999997,4.06209,4.62852,3.8749300000000004,42.7299,29.2542,38.9648,81.6543,48.4525,93.0609,28.0294,17.4162,2.82229,120.723,2.5377,41.089,2.3629700000000002,69.44,3.0611,46.3364,16.2778,58.2548,6.0,6.0,40.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,39.0,4.0,0.0,2.0,1.0882399999999999,1.7038,2.22835,2.42125,2.83535,1.67242,1.60364,1.0128,1.2100799999999998,0.925,2.0281700000000003,1.03226,1.57243,0.931718,1.15583,1.59955,1.1790100000000001,1.48437,1.03091,1.86126,2.28571,1.54073,1.7509299999999999,1.77778,1.57168,1.3468799999999999,1.5263,0.0,0.0,5455.0,15.0
0.35625,1.9,0.83125,0.83125,0.475,0.475,0.76,0.135714,0.475,0.475,0.633333,0.76,0.395833,0.285,0.665,0.57,88.0,1.0,3.0,0.0,1.01549,0.89697,1.30295,2.99175,2.45614,1.31962,1.15551,1.46089,1.33333,0.926316,3.67288,0.865856,0.878173,2.07375,0.931444,1.0882100000000001,1.10299,1.07639,1.4175,1.89484,1.23832,1.85,1.18479,1.25587,1.54995,1.3458,1.23664,0.0,0.0,73.0,0.0
0.0,0.0,0.59375,0.11875,0.0,0.0,0.285,0.0,0.0,0.0,0.0,0.19,0.31666700000000003,0.0,0.095,0.19,0.0,16.0,9.0,32.0,1.18747,1.67595,1.88022,2.5093099999999997,2.47475,1.9308299999999998,1.01896,1.07713,0.914286,1.1948,2.09412,1.9037,1.7364700000000002,0.0,3.94458,2.88,1.7111299999999998,1.2455399999999999,1.2722799999999999,0.8705879999999999,0.0,8.10412,1.56408,3.45074,1.94754,3.6306800000000004,1.27977,0.0,0.0,136.0,1.0
0.11875,0.095,0.2375,0.0,0.0,0.31666700000000003,0.19,0.0,0.158333,0.38,0.0,0.095,0.07916669999999999,0.0,0.095,0.19,44.0,11.0,0.0,4.0,1.38422,2.89893,2.50345,3.5714599999999996,6.19495,2.76401,6.87815,6.91118,7.95707,1.93137,4.81686,1.2931,1.2494,11.0996,1.45599,2.54697,1.81805,5.80074,4.9868,11.354000000000001,15.5588,5.35224,4.26205,2.89595,2.9355599999999997,4.206840000000001,2.88844,0.0,0.0,12.0,0.0
0.0,0.095,1.1875,0.11875,0.11875,0.0,0.19,0.0678571,0.0,0.095,0.31666700000000003,0.285,0.07916669999999999,0.0,0.57,0.76,0.0,5.0,3.0,1.0,1.09002,1.5781,1.66917,4.4459800000000005,7.21241,1.52339,1.96143,2.6639999999999997,2.5061,0.925,5.75138,1.6469999999999998,1.87546,1.50318,1.13846,1.2770299999999999,1.03401,2.20424,0.8802209999999999,2.1290299999999998,2.1169599999999997,0.8906459999999999,1.90848,1.3380100000000001,1.1552799999999999,1.36229,1.4024,0.0,0.0,252.0,1.0
0.475,2.85,0.35625,0.59375,0.475,0.475,0.285,0.203571,0.158333,0.095,0.2375,1.9,0.554167,0.0,0.475,0.76,0.0,16.0,10.0,18.0,5.48391,3.438,6.82742,3.9442199999999996,3.60071,4.78653,7.61326,3.25052,8.14259,1.19336,2.23831,1.64641,1.8411799999999998,1.6954900000000002,1.3209600000000001,1.38706,1.77185,1.28284,1.2414,2.4809900000000003,1.4020299999999999,1.13846,1.42545,2.1430000000000002,1.7777,8.53617,2.0207900000000003,0.0,0.0,168.0,0.0
0.0,0.38,0.0,0.11875,0.11875,1.58333,0.285,0.0,0.0,0.095,0.633333,0.0,0.07916669999999999,0.0,0.0,0.285,51.0,0.0,0.0,1.0,3.40602,7.57223,4.2171400000000006,3.5354900000000002,3.5402099999999996,1.6634799999999998,1.63436,3.3566800000000003,1.7465,0.8222219999999999,2.574,1.6615900000000001,2.66725,1.24833,2.0825099999999996,6.02574,2.07857,2.29589,1.33412,2.0191,1.29083,1.71681,1.1103,1.9393900000000002,1.90457,10.8448,2.28221,0.0,0.0,391.0,0.0
1.1875,2.85,2.375,1.1875,0.95,0.633333,1.9,0.33928600000000003,1.58333,0.57,1.58333,0.95,2.375,0.19,1.9,2.85,0.0,0.0,0.0,0.0,11.5192,6.865660000000001,20.4245,5.77684,4.31013,12.1541,22.9001,18.4091,26.8934,16.4189,8.8193,11.3758,19.4813,29.3614,18.9645,6.39421,4.56727,6.0111,43.6159,6.82832,39.3717,6.66097,37.1372,4.7042,22.511999999999997,19.7166,12.2068,1.0,1.0,10.0,0.0
0.0,0.665,0.59375,0.2375,0.83125,1.58333,0.095,0.0,0.0,0.19,0.07916669999999999,0.285,1.58333,0.285,0.38,0.38,64.0,2.0,1.0,2.0,2.27509,1.48,1.08533,3.27676,4.4770900000000005,3.21611,1.59853,1.8455099999999998,1.65363,0.8222219999999999,2.47579,1.0287899999999999,1.08029,1.5119999999999998,0.8709680000000001,0.9961540000000001,1.14286,1.05847,0.8894120000000001,1.2115,2.22602,0.8705879999999999,1.89793,0.8888889999999999,1.6806599999999998,1.3383,1.26,0.0,0.0,26.0,0.0
0.2375,0.095,0.35625,0.11875,0.0,0.0,0.095,0.0,0.0,0.285,0.07916669999999999,0.095,0.158333,0.0,0.095,0.0,0.0,8.0,2.0,0.0,1.2410700000000001,1.28175,1.6817099999999998,2.6377200000000003,3.19499,1.26321,2.03094,5.37683,2.81332,0.8538459999999999,2.77411,1.7024,0.8888889999999999,4.178780000000001,1.2179799999999998,1.37453,1.24771,1.3767,1.62276,10.7957,5.5378300000000005,1.3925,1.84325,1.9611299999999998,1.08463,1.18977,1.54399,0.0,0.0,41.0,1.0
80.75,34.2,20.1875,68.875,61.75,17.4167,33.25,27.1429,25.3333,48.45,58.5833,78.85,54.625,17.1,30.4,48.45,66.90909091,22.0,13.0,3.0,7.355910000000001,3.09547,8.67651,5.20911,5.58651,5.60225,12.8853,3.74011,11.082,42.9623,27.2796,29.948,39.7033,97.64,79.968,32.1286,11.4426,5.32426,148.947,6.53081,50.6266,6.995360000000001,75.6946,6.56,44.4368,13.7088,70.1374,0.0,0.0,22.0,0.0
0.0,0.095,0.11875,0.11875,0.35625,0.0,0.285,0.0,0.0,0.095,0.07916669999999999,0.57,0.395833,0.0,0.095,0.0,0.0,24.0,7.0,14.0,1.28512,2.68245,2.52101,2.74511,4.1636,1.6145399999999999,1.8611,2.38122,1.8028400000000002,1.36265,4.77968,1.48,1.54208,2.08897,1.09322,1.2044,1.0922,7.6259,1.07122,3.3353300000000004,2.24473,1.95113,1.32673,2.87245,1.24674,1.81425,1.4747299999999999,0.0,0.0,21.0,0.0
0.35625,0.95,0.83125,0.35625,1.1875,0.475,0.665,0.271429,0.475,0.19,0.633333,0.76,0.633333,0.19,0.76,0.95,73.0,29.0,20.0,48.0,4.28421,4.2829,3.88288,3.51455,3.41943,2.72388,4.11496,2.9036299999999997,3.49318,1.3421299999999998,1.76519,1.4559,1.20296,1.25919,0.9527030000000001,1.13005,1.6157299999999999,2.35452,1.38445,1.38035,1.3969999999999998,1.23333,1.7871599999999999,1.5282,1.54063,3.61545,1.5158,1.0,1.0,1.0,0.0
0.0,0.095,0.0,0.11875,0.0,0.0,0.19,0.0678571,0.158333,0.19,0.07916669999999999,0.0,0.07916669999999999,0.0,1.9,0.19,41.0,37.0,16.0,25.0,1.6725599999999998,1.62001,2.2884599999999997,4.282719999999999,4.19796,1.76958,2.07464,1.9853900000000002,2.08062,17.3255,12.5989,7.12874,11.144,30.2332,23.5627,10.3626,3.2899,5.69154,33.7816,5.78135,20.8413,11.9153,28.0376,3.13631,20.4065,6.57568,16.4379,0.0,0.0,5079.0,13.0
0.0,0.095,0.11875,0.11875,0.0,0.31666700000000003,0.0,0.0,0.0,0.095,0.0,0.095,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,1.41136,2.2425,1.91398,2.2412900000000002,2.5390599999999997,1.29073,5.815230000000001,5.31654,3.0089200000000003,1.00909,2.36905,2.73231,5.33208,1.2721,0.888,1.32369,1.48051,1.50676,2.0910599999999997,3.03176,2.12605,1.59645,1.97468,5.82179,1.52016,4.7548,1.61345,0.0,0.0,509.0,0.0
0.59375,0.57,0.35625,0.35625,0.2375,0.31666700000000003,0.38,0.135714,0.158333,0.19,0.2375,0.38,0.2375,0.0,0.475,0.19,0.0,0.0,0.0,1.0,0.968877,2.16642,1.8137400000000001,1.73827,2.67152,1.57974,1.44205,2.69739,2.43119,1.0781399999999999,3.1419,1.57739,0.8888889999999999,1.16308,1.34545,1.16352,1.02255,1.21154,2.16,1.2634100000000001,2.028,1.48106,1.64103,1.21812,1.04779,1.52577,1.4902799999999998,0.0,0.0,6.0,0.0
0.0,0.95,0.0,0.0,0.0,3.16667,0.0,0.0678571,0.633333,0.855,0.0,0.0,1.58333,0.38,0.665,0.0,64.0,66.0,33.0,33.0,0.0,0.0,0.0,2.38978,2.21351,1.87852,0.0,0.0,0.0,0.0,2.91779,1.08543,1.33333,0.0,0.0,0.0,0.990735,0.0,1.09677,0.0,0.0,0.0,0.0,1.32634,1.02529,1.06515,1.17353,0.0,0.0,19.0,0.0
0.11875,0.855,0.83125,0.0,0.0,0.158333,0.095,0.475,0.0,0.095,0.158333,0.19,0.07916669999999999,0.095,13.3,0.095,0.0,17.0,4.0,19.0,1.20553,1.8205,1.9926400000000002,3.0473,3.07033,1.7702099999999998,3.0894,7.233810000000001,3.2410900000000002,4.4909099999999995,7.95255,11.407,27.2753,21.3678,55.1745,20.8233,12.2289,5.23597,60.5601,8.80435,47.3316,9.15131,54.0614,3.06637,25.3315,6.10893,18.0361,0.0,0.0,5315.0,13.0
1.1875,2.85,1.1875,2.375,2.375,3.16667,2.85,1.35714,0.633333,2.85,2.375,1.9,7.125,0.76,1.9,8.55,0.0,1.0,0.0,1.0,37.2352,14.9129,16.8429,8.19544,10.4543,4.64799,197.98,32.3092,46.7379,20.7335,6.6116,108.59899999999999,195.123,101.618,146.225,73.8335,49.1932,10.0972,50.7979,20.9714,48.9962,15.5438,30.8769,11.8344,18.4728,25.0965,30.138,4.0,6.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,25.0,12.0,15.0,1.14705,1.48278,1.61537,3.07995,4.52652,1.7356,1.62608,1.34711,1.3672799999999998,0.965217,3.1722,1.55635,1.7254900000000002,2.592,2.26,1.64352,0.909091,1.6007200000000001,1.30846,1.199,1.54721,2.30222,1.95429,0.9756100000000001,1.01916,1.258,1.4147,0.0,0.0,5455.0,15.0
