adipose_tissue,adrenal_gland,brain,breast,colon,heart,kidney,leukocyte,liver,lung,lymph_node,ovary,prostate_gland,skeletal_muscle_tissue,testis,thyroid_gland,micropeptide_aa_avg,genebody_SINE,genebody_LTR,genebody_LINE,genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me1,genebody_Gm12878H3k4me3,genebody_H1hescH3k27ac,genebody_H1hescH3k4me1,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me1,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS1k_K562H3k4me3,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k27ac,TSS5k_H1hescH3k4me1,TSS5k_H1hescH3k4me3,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,cancer-miRNA_targets,miRNA_targets,hbm_total_degree,hbm_cancer-protein_degree
0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.07916669999999999,0.0,0.0,0.76,0.095,0.95,0.0,5.0,1.0,2.0,1.2862,1.95882,2.07017,2.67224,2.11748,1.4059,2.18349,3.35721,1.8146900000000001,1.10414,2.6856400000000002,1.8663900000000002,1.24187,1.9487700000000001,1.39014,1.62875,1.19255,2.34838,1.71125,5.94158,1.86087,3.14698,1.3469200000000001,2.53681,1.7302400000000002,1.58571,1.56734,0.0,0.0,158.0,3.0
0.35625,0.95,1.1875,0.7125,0.475,0.31666700000000003,0.95,0.203571,0.31666700000000003,0.38,0.791667,0.95,0.31666700000000003,0.475,0.095,0.855,0.0,0.0,1.0,0.0,0.8222219999999999,0.9156629999999999,2.01582,2.7938,1.28819,1.29987,1.81758,1.38042,1.44054,1.54167,2.492,1.43889,1.31225,1.45249,1.46623,1.30169,1.44179,2.0,1.16439,1.34545,1.47212,1.36316,1.82456,1.88235,1.22991,1.4727,1.30979,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899302,1.59175,0.9369569999999999,0.947635,2.96639,1.9170099999999999,0.945,0.902954,1.46341,0.883569,1.61122,1.1543,1.76692,2.47865,0.986667,1.72508,1.7015900000000002,1.88432,1.6595099999999998,1.469,1.2549,1.66005,1.41915,2.6987,1.22694,2.80987,1.62585,0.0,0.0,0.0,0.0
0.475,0.95,0.475,0.475,0.59375,0.475,0.38,0.135714,0.633333,0.285,0.31666700000000003,0.855,0.791667,0.19,0.95,0.665,0.0,0.0,2.0,0.0,61.0045,19.078,10.8971,2.5467299999999997,1.8504,1.41075,4.60781,6.79172,2.90924,76.3113,2.99535,1.40487,1.33333,13.5001,1.84102,1.57187,1.5901,26.4942,1.2648,16.0991,4.88214,2.2579599999999997,1.4860200000000001,2.33285,1.56338,1.42225,1.44404,0.0,0.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58333,0.0,0.285,0.0,0.0,0.0,0.0,0.0,2.30286,14.5892,6.05644,2.07185,3.7669,1.30071,2.64372,4.80278,2.80776,2.08125,1.99043,6.637980000000001,11.1351,2.184,3.32153,3.19492,1.27372,15.2742,3.0951299999999997,2.7587,1.56036,11.3312,2.3376200000000003,3.5767900000000004,2.39379,8.54025,2.24051,0.0,0.0,368.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8879309999999999,0.935393,1.6370200000000001,2.74579,2.05145,1.3814899999999999,0.0,0.767857,1.77778,1.13846,2.48363,1.9835599999999998,1.36585,0.84,1.1170799999999999,1.36548,1.3452899999999999,0.9193549999999999,1.56556,1.38524,1.27163,1.17395,1.48068,1.50451,1.1186,1.23333,1.45455,0.0,0.0,636.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.0,0.0,3.0,1.0,0.0,1.35725,1.9197400000000002,1.98295,2.37964,1.8929599999999998,1.36677,2.04692,1.8502599999999998,1.59266,1.63368,2.9760000000000004,1.74479,1.85258,1.75699,1.3214299999999999,1.33199,1.32168,1.35741,1.80977,1.55491,1.22485,1.80541,2.31685,1.40466,1.1146,4.47676,1.83873,0.0,0.0,5455.0,15.0
0.0,0.095,0.0,0.35625,0.11875,6.33333,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.095,0.0,3.0,1.0,1.0,0.965217,1.8822900000000002,1.62101,2.94896,2.45128,1.67973,2.30294,2.87466,1.47573,1.74118,2.71354,1.8342900000000002,1.60828,1.5912,2.71394,3.3970300000000004,2.08656,1.48743,1.4933299999999998,2.83561,1.3082200000000002,16.8257,3.10545,7.138910000000001,2.3988099999999997,4.9554599999999995,1.7743799999999998,0.0,0.0,738.0,0.0
0.11875,0.475,0.11875,0.2375,0.2375,0.0,0.19,0.0,0.0,0.095,0.0,0.095,0.0,0.0,0.095,0.19,0.0,6.0,3.0,14.0,1.93145,4.3202,2.75481,2.4003799999999997,1.66587,1.22003,3.3499,4.03045,2.4592400000000003,1.0206899999999999,3.45,1.07778,0.8888889999999999,2.13962,1.27701,1.23653,1.3871200000000001,1.28706,1.3,2.2384,1.91268,1.09029,1.2307700000000001,0.9829,1.32318,1.18747,1.16104,0.0,0.0,31.0,0.0
0.11875,0.855,0.2375,0.2375,0.2375,0.475,0.855,0.0,0.158333,0.38,0.07916669999999999,0.475,0.07916669999999999,0.095,0.285,0.855,0.0,4.0,6.0,3.0,1.11247,1.6097,1.80568,2.86318,3.25314,1.46445,3.54084,6.7543,2.75218,1.33333,2.16278,3.25925,1.0794700000000002,2.77829,1.13846,1.43818,1.3640700000000001,1.44783,1.39345,15.1242,2.99646,1.43311,1.2973,1.8877,1.41621,1.34772,1.5095,0.0,0.0,16.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05714,1.45438,1.40747,3.09173,1.78751,0.914286,26.1071,14.8387,7.57713,1.0206899999999999,2.44225,1.31769,0.960247,16.1654,0.925,1.14246,1.3389,1.58483,1.6239700000000001,13.8396,5.5913,1.3339,1.5852700000000002,1.8358,1.1517700000000002,1.3957700000000002,1.28782,0.0,0.0,0.0,0.0
1.06875,1.9,1.1875,2.375,0.35625,1.10833,2.85,0.203571,0.791667,0.095,0.7125,0.95,1.58333,5.7,0.95,7.6,0.0,0.0,0.0,0.0,1.45523,1.33841,1.49806,2.51547,3.47435,1.49565,1.30417,1.37668,1.90588,1.84523,2.64663,1.9619400000000002,1.25,1.15505,1.34545,1.19117,1.48714,1.59608,1.63459,1.76138,1.83038,1.1840000000000002,1.9392599999999998,1.27472,1.43727,1.28007,1.35178,0.0,0.0,92.0,2.0
0.11875,0.0,0.0,0.35625,0.2375,0.475,1.9,0.0,0.31666700000000003,0.0,0.791667,0.475,0.2375,0.0,0.475,0.665,0.0,0.0,0.0,0.0,1.88137,0.967843,1.4520600000000001,1.28968,0.8888889999999999,0.8345319999999999,1.08,0.0,0.887241,1.3591799999999998,1.98725,3.3272699999999995,1.5532,1.3608,1.30375,1.23017,1.3473700000000002,1.25527,1.12795,1.67704,1.2190299999999998,1.2634100000000001,1.22106,1.0464799999999999,1.60782,1.49201,1.44689,0.0,0.0,19.0,0.0
0.0,0.285,0.2375,0.0,0.0,0.0,0.0,0.203571,0.0,0.0,0.0,0.285,0.395833,0.0,4.75,0.19,0.0,0.0,0.0,0.0,21.2138,7.59254,43.1241,35.0313,8.25635,42.4737,161.99200000000002,10.3747,84.2834,25.7988,21.787,29.1271,51.06399999999999,77.0535,32.397,11.1031,8.37009,5.7011199999999995,74.1186,11.3006,63.8327,10.1337,46.3452,4.13875,37.9884,9.820030000000001,32.9376,0.0,0.0,5291.0,13.0
0.0,0.0,0.11875,0.0,0.0,0.0,0.095,0.271429,0.0,0.19,0.0,0.285,0.791667,0.0,0.475,0.285,0.0,0.0,0.0,0.0,1.13541,4.32525,1.5697,23.6574,17.706,4.96709,1.3266200000000001,1.4796200000000002,1.9134,1.3224200000000002,20.4062,1.20648,1.2474399999999999,2.02533,2.8098099999999997,1.7886400000000002,0.8888889999999999,3.8426199999999997,1.97577,1.7671599999999998,1.9393900000000002,6.39652,2.7911200000000003,1.2560200000000001,1.30524,1.40839,1.4094200000000001,0.0,0.0,13.0,0.0
0.0,0.19,0.35625,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.07916669999999999,0.285,0.0,0.095,0.0,1.0,0.0,0.0,0.875,1.65135,1.83411,2.42044,2.01589,1.70402,1.78057,1.25231,0.46875,1.1054700000000002,2.4232400000000003,2.2993799999999998,0.904085,1.22516,1.7407400000000002,1.5019200000000001,1.0,1.88968,1.45385,1.09053,1.7238099999999998,3.3027599999999997,1.37079,0.8888889999999999,1.5664200000000001,1.7025599999999999,1.3159299999999998,0.0,0.0,248.0,4.0
0.11875,0.0,0.0,0.2375,0.0,0.0,0.19,0.0,0.0,0.285,0.0,0.19,0.0,0.0,0.095,0.38,0.0,0.0,0.0,0.0,1.61313,2.26384,5.757630000000001,2.02271,4.87627,15.2256,2.22707,5.91627,31.5485,1.37037,2.32933,1.42644,2.0,1.51904,12.6077,5.8724099999999995,1.7722900000000001,2.5931599999999997,18.8626,5.77105,20.6498,4.803669999999999,28.4469,2.8909599999999998,12.8355,5.01253,5.72555,0.0,0.0,22.0,1.0
